gene_name	WP3_D12_1	WP3_D12_2	WP3_D16_1	WP3_D16_2	PKD_10_D12_1	PKD_10_D12_2	PKD_10_D16_1	PKD_10_D16_2	PKD_11_D12_1	PKD_11_D12_2	PKD_11_D16_1	PKD_11_D16_2
SARM1	206.218	169.503	261.255	249.045	125.093	97.2825	225.675	158.166	191.663	143.305	289.767	295.656
POLDIP2	1752.21	1820.21	1601.46	1527.85	1528.05	1615.17	1408.89	1409.17	1427.99	1340.23	1235.69	1285.63
PLXND1	382.481	362.609	519.05	628.176	725.375	677.63	1071.95	829.992	760.405	699.687	1866.4	1977.65
AK2	3408.14	3472.58	3280.18	3635.03	2529.57	2825.89	2966.44	2981.08	1332.26	1466.41	1382.21	1420.95
FKBP4	6216.26	7552.51	5324.67	5471.09	6006.46	5735.08	4291.78	4877.43	5136.91	5913.37	3966.57	4036
KDM1A	3559.54	3523.77	3606.26	3606.57	3844.7	3887.06	2810.54	2650.61	3897.64	3930.91	2894.42	3158.85
RBM6	2730.4	2965.2	2939.87	2736.1	3259.13	3591.62	2515.13	2416.45	3549.55	3948.37	2419.78	2590.47
CAMKK1	49.8888	42.2673	125.937	90.2824	76.0308	83.2939	87.4252	103.403	85.8664	86.3132	121.644	107.595
RECQL	1136.92	1292.56	836.022	893.309	1019.92	905.302	1149.29	921.539	1038.32	972.162	1059.6	989.849
VPS50	1377.1	1483.81	1058.11	1146.11	1792.89	1721.4	1402.78	1506.72	1641.19	1520.58	1180.67	980.05
ARHGAP33	121.951	144.599	84.7428	77.9279	71.9211	62.4705	95.3729	64.6266	41.6053	40.4019	83.4813	78.3573
NDUFAB1	485.426	555.037	443.722	527.438	531.189	589.133	721.256	624.108	663.915	637.249	521.162	567.213
PDK4	3458.9	3780.71	2173.91	2907.11	3121.35	2963.91	2798.57	3883.23	2826.52	3031.03	2337.49	2574.14
ZMYND10	52.2645	36.7058	29.4246	17.1061	116.101	128.411	80.4709	36.0063	105.341	39.4837	50.0888	39.7634
SLC25A13	1701.76	1635.08	1651.29	1624.14	1818.59	1821.18	1482.24	1404.26	1789.02	1866.76	1154.42	1091.15
ST7	497.816	447.337	467.933	365.93	420.108	410.881	367.651	326.086	411.45	424.149	455.514	449.045
CDC27	2134.91	2160.08	2135.05	1913.04	1404.5	1461.11	1627.29	1671.98	1654.48	1755.65	1570.64	1495.81
CALCR	0	0	1.17698	0	6.16466	3.47058	28.8106	18.4648	11.5079	6.42758	11.9259	39.7634
HCCS	723.779	780.831	707.367	701.353	746.954	629.04	746.095	946.314	675.422	690.504	763.257	742.642
DVL2	1045.3	1016.64	819.181	737.464	1002.79	872.85	818.617	899.233	945.417	1031.17	909.945	817.489
PRSS22	494.93	517.218	706.19	768.825	798.324	717.543	915.977	995.245	746.239	650.104	1031.59	1010.46
UPF1	3137.49	3101.05	2991.88	2994.52	2842.94	2659.35	2669.43	3179.62	2705.25	2636.21	2807.34	2719.1
SKAP2	432.37	439.357	322.494	337.371	2279.9	2147.42	2067.4	2231.47	1792.57	1735.45	1775.77	1601.06
SLC25A5	5139.34	5070.92	4051.19	4073.12	3297.08	3083.61	4324.59	4641.08	2754.8	2965.85	3910.52	3919.05
MCUB	251.82	234.695	255.406	246.138	175.693	194.352	246.38	193.88	162.88	118.451	137.148	196.478
POLR2J	513.112	433.637	427.725	498.61	468.456	494.622	445.949	401.783	449.448	491.699	386.414	478.684
DHX33	785.552	777.495	720.314	666.188	726.403	766.129	585.152	541.017	885.218	773.145	553.362	612.824
MEOX1	0	3.33689	0	7.60273	34.9331	32.9705	28.8106	15.695	31.8679	29.3832	38.1629	36.2549
THSD7A	108.488	166.845	701.482	568.304	330.837	260.294	1320.32	2012.63	388.611	309.442	671.428	663.114
LIG3	1132.81	1078.78	962.512	971.083	1181.12	1298.24	733.248	657.472	1149.2	1184.71	675.807	698.664
RPAP3	977.981	986.604	946.295	967.447	876.408	957.013	825.575	995.25	1056.07	1059.63	827.657	792.93
ACSM3	2759.85	2883.57	2201.69	2666.01	2663.14	2699.4	2004.59	2105.51	2283.4	2273.57	1966.39	1898.56
REXO5	141.748	104.556	77.6809	67.4742	30.8233	34.7058	54.6407	25.8507	29.2122	34.9016	31.0074	31.5768
CIAPIN1	913.833	965.471	1014.56	1055.83	1164.1	1070.68	1469.34	1521.5	1295.96	1208.39	1375.06	1363.65
SPPL2B	878.202	847.565	973.364	950.338	1030.53	945.936	1146.21	1212.21	887.875	946.688	1280.84	1307.9
ATOSB	206.682	170.181	209.503	211.926	295.904	261.161	178.824	162.49	280.614	254.349	225.4	228.055
PRKAR2B	1348.59	1431.53	574.369	960.794	974.014	1106.25	964.661	929.701	981.714	933.836	954.073	819.828
MSL3	638.26	719.656	703.837	631.026	763.39	666.352	601.048	517.013	653.292	692.343	577.214	594.112
CREBBP	3243.54	3274.59	3416.77	3303.39	3871.44	3448.89	3496.07	3868.31	3888.78	3693.07	3583.75	3557.62
TSPOAP1	270.825	231.358	330.732	311.712	228.093	264.632	465.937	411.764	231.042	250.676	542.629	564.876
GCFC2	568.573	540.576	521.404	520.78	432.554	544.014	600.055	477.314	501.92	513.289	502.08	625.69
WDR54	429.202	446.031	249.521	317.414	279.465	241.205	210.615	160.643	262.025	248.839	261.177	238.581
CROT	1486.38	1602.8	1327.63	1302.91	676.055	691.516	761.989	866.924	693.128	746.516	763.258	674.809
KMT2E	2511.93	2638.36	2893.03	3003.08	2856.31	2974.29	3171.82	3369.82	3381.19	3244.1	3200.55	2950.31
RHBDD2	591.541	605.092	727.376	678.544	669.892	696.721	804.708	728.431	641.783	605.11	764.45	725.097
SOX8	43.5537	54.5025	54.1413	16.1558	117.129	140.558	49.6734	36.9295	84.9811	89.9861	31.0074	40.9329
IBTK	2473.83	2672.85	2607.03	2604.87	2445.3	2480.63	2579.04	2804.79	2438.75	2372.7	2378.01	2174.13
ZNF195	1056.38	1051.12	1086.36	1105.25	1362.39	1257.22	1139.51	1190.98	1354.39	1532.52	1136.54	1216.29
MYCBP2	3811.06	3736.49	4281.7	4637.3	4222.34	4213.42	4263.93	4875.35	4666.63	4398.11	4449.16	4317.12
FBXL3	1385.6	1472.17	1841.72	1861.99	1195.01	1021.81	1835.71	2238.91	1153.78	1135.16	1737.95	1796.3
ITGAL	16.6296	18.909	2.35397	17.1061	31.8507	39.9117	4.96734	4.61619	9.73742	16.5281	4.77036	3.50854
PDK2	759.096	767.135	766.351	859.288	870.772	775.517	1328.93	1199	817.406	912.232	1046.33	1138.97
ITGA3	3430.47	3531.55	3706.3	2717.03	3643.26	3564.23	2510.5	2322.85	3194.72	3198.17	3569.4	4151.8
ZFX	750.709	721.881	860.374	761.225	750.033	745.307	734.171	864.154	825.027	812.626	697.665	674.809
LAMP2	3622.88	3759.54	4379.53	4254.67	4807.43	4639.29	5463	5688.11	4588.04	4723.37	4908.64	4934.2
ITGA2B	3.95943	7.78608	15.3008	7.60273	1.02744	9.5441	1.98694	6.46266	0.88522	1.83645	13.1185	7.01708
GDE1	4036.99	3899.79	4977.45	5346.71	3399.82	3648.36	3453.9	3736.75	3422.21	3330.39	3671.74	3438.01
REX1BD	171.047	251.379	161.247	191.969	119.183	135.353	150.014	153.257	133.668	151.507	181.274	177.766
CRLF1	14.3608	9.17008	16.3447	14.5759	14.8507	22.7751	13.0772	11.3165	16.5648	25.1127	9.04003	19.638
OSBPL7	239.942	228.021	187.14	190.068	244.532	259.426	208.628	170.799	176.159	229.556	220.629	218.699
TMEM98	1027.08	1043.33	655.581	642.432	1293.56	1328.36	1073.94	750.592	1195.94	1280.92	1088.84	1166
YBX2	25.3404	26.6951	11.7698	16.1558	10.2744	4.33823	31.791	34.1598	17.7044	11.0187	51.2814	30.4073
MAP3K14	283.843	318.015	245.99	191.615	228.327	224.469	213.495	152.096	228.74	237.68	249.501	232.096
TMEM132A	1169.62	1165.69	1654.84	1626.04	1686.03	1755.25	1583.59	1399.63	1412.8	1578.43	1594.5	1589.37
AP2B1	6383.47	6456.76	6313.5	6195.36	7222.74	7192.75	6544.07	6179.12	7586.19	7338.52	6668.98	6565.73
ZNF263	497.4	658.355	591.732	688.805	627.3	729.979	689.275	683.626	719.785	753.292	785.755	736.166
CX3CL1	821.175	912.08	1758.39	1501.55	1218.54	1363.07	2322.74	1649.85	1176.44	1183.58	2207.51	1906.29
SPATA20	749.917	637.362	573.209	636.732	582.831	604.817	539.454	524.399	466.511	561.956	673.814	697.039
CACNA1G	7.91886	11.123	0	3.80136	4.10977	5.20587	12.9151	0.923238	1.77044	11.9369	0	1.16951
TNFRSF12A	498.097	547.249	1106.37	768.824	640.097	780.011	948.759	686.887	1047.21	903.531	930.216	951.98
MAP3K9	1372.33	1353.67	1754.88	1718.22	1920.29	1739.63	1414.7	1507.64	1758.93	1683.11	1365.52	1381.19
RALA	1183.08	1094.5	1340.58	1467.33	1276.08	1295.4	1314.36	1299.92	1495.14	1654.64	1253.41	1309.85
BAIAP2L1	1387.22	1310.81	1507.07	1426.17	1248.76	1366.76	1067.69	1084.36	1085.77	1274.65	1204.25	1251.75
KDM7A	862.369	859.808	1247.59	1475.89	1103.46	1336.18	805.696	1240.83	914.432	981.582	658.308	685.333
ETV1	232.023	200.213	85.9198	55.1198	188.022	205.632	82.4578	25.8507	165.536	211.192	63.2073	61.9842
AGK	679.708	639.571	619.589	634.119	629.732	638.969	559.348	594.843	606.836	561.458	580.643	565.982
ALDH3B1	10.2945	13.3476	42.3714	53.2191	29.7959	26.897	71.6928	61.8569	33.6383	22.0374	85.8665	71.3403
TTC22	50.6807	38.9304	64.7341	80.7789	28.7684	31.2352	18.8759	32.3133	3.54088	1.83645	7.15554	3.50854
PHTF2	1004.11	917.64	1262.9	1148.97	794.219	606.485	1374.96	1393.16	921.511	944.857	1602.84	1403.41
FARP2	1549.94	1593.38	1758.96	2116.66	1579.4	1632.19	1441.51	1719.66	1528.02	1567.81	1720.92	1684.71
USH1C	15.0458	8.89838	34.1325	25.6592	60.6192	46.8528	73.5166	58.164	66.3915	29.3832	91.8295	79.5269
GGCT	3222.15	3186.7	1728.98	2133.54	1545.28	1642.46	1320.32	1423.63	1598.71	1655.63	1334.69	1320.16
DBF4	451.376	401.456	327.202	327.868	182.885	224.72	195.713	157.874	187.667	206.601	172.926	183.614
IFRD1	508.1	530.489	500.819	503.208	786.589	720.367	616.096	807.751	860.952	855.37	738.216	791.355
COX10	457.989	491.972	575.641	560.869	469.816	509.52	512.73	525.579	545.491	521.96	443.724	490.078
GTF2IRD1	972.437	1012.19	1342.94	1232.6	1000.73	1018.61	782.854	821.681	1088.82	1031.17	871.784	989.407
PAF1	1104.68	1094.5	1192.28	1151.81	996.619	1081.95	1124.61	1169.74	1235.77	1238.69	1013.71	1008.12
VPS41	2357.4	2193.46	2774.17	2656.16	2384.7	2425.07	2479.71	2794.62	2655.69	2710.61	2380.42	2320.31
ARHGAP44	398.319	520.556	632.041	602.516	512.693	465.058	639.795	814.294	552.376	527.98	757.295	679.487
ELAC2	1621.78	1675.12	1519.49	1507.24	1547.33	1686.71	1447.48	1514.11	1579.23	1459.97	1311.85	1342.6
SCIN	7244.96	7380.8	8148.23	7392.58	8651.98	6662.55	17550.4	17445.6	8987.73	7997.84	15589.5	13925.3
ARSD	1325.69	1195.12	1307.95	1306.77	1484.23	1588.68	1801.41	1431.95	1491.41	1305.87	1597.87	1521.6
PNPLA4	260.531	261.39	197.733	236.635	273.3	256.823	280.158	235.426	223.075	174.463	221.822	229.224
ADIPOR2	1961.5	2049.96	1977.33	1779.04	1847.34	1782.14	1770.36	1719.99	1719.1	1849.31	1614.77	1723.86
CDKL3	17.3739	11.4026	13.9113	15.7274	13.5476	24.9878	14.5166	6.06745	18.5165	12.607	9.17749	31.7285
UPP2	14.254	7.78608	1.17698	7.60273	8.21955	9.5441	11.9216	4.61619	3.54088	0	0	8.18659
MARK4	452.959	418.224	636.746	613.918	656.535	645.531	715.296	626.878	655.063	662.042	714.362	762.522
PROM1	5471.9	5826.21	8299	9322.93	2224.41	2664.55	2575.1	2411.49	1742.11	1831.87	2162.16	2172.96
CCDC124	768.129	798.627	822.711	754.572	686.332	818.19	697.414	686.888	798.468	794.266	573.636	659.607
PAFAH1B1	4938.97	4976.47	4893.9	5061.4	5358.22	5247.54	5540.54	6057.47	5550.32	5360.67	5230.64	5298.95
NOS2	2.37566	0	0	1.90068	0	0.867645	0	0.923238	9.73742	0	2.38518	5.84756
DNAH9	83.148	70.0747	35.3095	55.1198	221.928	272.44	94.3794	35.083	134.553	44.0748	20.274	14.0342
BLTP2	6353.65	6182.94	6038.01	6481.87	5876.47	6069.34	5153.73	5220.63	6086.52	5869.12	4966.04	5233.3
GAS7	471.963	460.491	454.316	388.69	137.677	88.4998	221.543	499.471	345.236	422.384	484.192	385.939
TRAPPC6A	174.215	125.69	204.795	186.267	160.281	228.191	297.047	209.575	154.028	158.853	258.792	270.157
ST7L	239.796	196.385	190.581	230.484	211.406	208.896	246.262	199.637	265.875	248.137	220.405	217.202
RPUSD1	225.688	221.347	233.043	197.671	201.379	230.793	191.739	201.266	204.486	200.173	170.541	194.139
RHBDF1	366.643	333.689	697.952	612.973	469.543	432.955	952.737	829.992	539.985	509.617	890.864	1005.78
LUC7L	1006.49	1117.86	1148.74	895.221	1159.98	1337.04	1018.31	1037.72	1314.55	1462.73	1277.26	1253.72
CACNA2D2	235.19	191.315	271.883	160.608	253.779	213.441	448.127	388.683	361.169	340.662	436.489	376.584
BAIAP3	136.316	142.995	148.541	154.975	207.773	223.381	157.961	159.016	208.139	153.531	210.028	240.92
TSR3	466.309	456.533	390.518	408.577	452.874	420.412	509.649	456.783	363.713	351.493	433.97	445.584
PIGQ	720.199	729.581	766.069	756.05	946.381	915.687	920.465	803.288	802.144	766.285	875.511	1013.84
CRAMP1	852.226	860.015	849.041	844.86	1116.05	1166.42	893.576	962.038	1062.04	1073.47	893.875	1053.25
TEAD3	745.162	731.894	1161.69	1242.1	1238.08	1295.38	940.808	1028.48	1179.11	1144.11	903.977	1122.74
DNAJC11	1358.85	1461.62	1538.54	1541.18	1263.54	1451.21	1404.76	1492.06	1475.23	1438.9	1264.78	1297.59
MYLIP	1992.39	1994.33	2422.2	2688.52	2438.15	2451.11	2301.85	2932.12	2216.6	2353.39	2181.22	2288.7
E2F2	556.696	590.63	129.468	133.998	58.5643	89.3674	88.4186	67.3963	49.5723	51.4206	57.2443	52.6281
PSMB1	1290.78	1411.5	1450.05	1522.44	1124.02	1334.44	1202.1	1203.91	1476.54	1460.89	1064.98	1105.19
JARID2	839.405	838.674	1007.51	1048.22	1260.68	1294.53	1063.02	1264.85	1431.42	1386.51	1072.14	1128.57
CDKL5	1374.72	1401.49	1705.45	1701.11	1355.21	1298	1235.87	1503.03	1234.88	1184.52	1270.11	1281.77
CAMK1G	25.3404	31.1443	29.4246	19.0068	27.741	43.3823	28.8106	52.6245	40.7201	33.0561	13.1185	23.3903
CDK11A	543.867	520.456	783.849	648.01	572.275	739.759	555.799	550.235	634.452	793.403	606.413	557.441
NADK	1874.38	2008.8	1844.34	2052.75	2000.45	1908.82	2204.52	2598.91	2060.81	1920.92	2312.43	2300.43
TFAP2B	314.379	305.882	207.149	169.161	351.386	319.293	267.243	235.426	231.928	250.676	196.777	197.648
DLEC1	35.1925	25.8151	8.35285	14.6264	39.3947	70.9845	47.4819	18.7363	47.2751	24.546	42.6685	20.1945
CYTH3	300.917	273.625	424.891	393.441	452.075	334.911	691.454	481.93	563.885	485.741	667.851	750.827
ADAM22	299.333	264.727	300.131	340.222	316.452	289.793	737.152	577.023	297.434	261.694	735.828	636.216
SYPL1	4569.9	4404.77	4123	4299.26	3644.36	3519.15	3493	4106.66	3673.61	3533.34	3349.97	3220.78
CYB561	1563.98	1565	1623.05	1802.78	1263.76	1330.96	1196.14	1526.12	1137.51	1179.91	1317.81	1343.78
SPAG9	2360.59	2289.1	2834.18	2836.76	2493.61	2501.41	2463.8	3031	2707.88	2584.78	2213.46	2308.62
CELSR3	207.474	200.213	205.972	198.621	223.983	264.632	210.615	193.88	343.465	361.781	265.948	280.683
AASS	454.543	511.657	330.732	319.314	460.295	501.499	404.342	339.752	430.217	527.98	447.222	412.838
PLEKHG6	734.08	760.811	1071.05	1178.42	708.936	644.662	872.264	1052.49	763.944	675.814	944.532	1140.27
SS18L2	307.253	325.904	283.653	316.463	181.858	271.573	272.21	240.042	277.074	251.594	230.17	224.547
MPND	345.243	330.342	301.308	316.463	296.931	390.441	225.517	265.892	307.171	312.196	239.614	265.479
MGST1	2476.22	2524.92	2238.63	3727.3	527.079	591.732	342.747	549.328	642.668	736.417	553.361	497.043
CRY1	793.466	830.888	922.756	803.99	923.677	851.164	861.34	847.531	1019.77	1015.55	864.629	970.699
NFIX	7.12698	21.1336	10.5929	6.65238	5.13722	6.07352	1.98694	2.76971	21.2453	26.6285	11.9259	24.5598
ST3GAL1	1176.75	1276.92	1603.05	2300.77	542.489	644.662	371.557	439.461	640.013	617.965	467.495	571.894
MMP25	11.0906	6.06123	8.9483	11.6651	9.73677	18.3909	18.7269	16.3299	4.87678	2.89383	8.83004	14.1665
IL32	129.077	154.609	326.025	267.996	455.157	670.69	538.459	227.117	524.05	599.601	436.488	446.753
PKD1	856.383	893.344	543.64	600.097	1206.05	1019.37	805.302	879.074	859.378	963.411	1103.2	1226.05
MAPK8IP2	24.5485	21.1336	28.2476	20.9075	20.5489	15.6176	36.7583	50.7781	17.7044	24.7921	23.8518	30.4073
MED24	1209.21	1122.31	1105.19	1018.76	1417.87	1347.45	1122.62	976.785	1176.46	1192.78	1078.1	1246.7
RHOBTB2	493.574	464.696	345.784	334.691	375.728	393.683	329.73	334.899	452.617	446.857	422.23	350.788
HEATR5B	1084.88	1029.99	1106.36	1114.75	1044.91	1025.56	1004.4	1121.73	1046.33	1086.26	998.198	849.066
SEC62	4070.27	4072.12	4772.67	4932.31	4267	4348.69	4382.19	5199.66	4357.08	4466.19	4249.2	3989.19
RPS20	7594.8	7742.97	7851.61	8664.38	7046.28	7794.72	6811.16	6452.48	7688.84	8295.2	7515.64	7490.73
CSDE1	16194.6	16878.3	17019.2	17797.7	17238.5	16138.7	14788.9	15379.2	16797	17122.7	16084.6	15595.5
UBE3C	2717.01	2587.23	2827.13	2793.97	2476.11	2231.58	2595.94	2982.12	2424.61	2355.23	2504.41	2501.56
REV3L	1722.17	1648.1	1346.21	1227.93	1645.97	1576.14	1606.43	1660.9	1833.72	1711.15	1513.66	1536.44
TENM1	7.91886	10.0107	25.8936	13.5175	13.3568	17.3529	49.6734	43.3922	32.1761	27.5468	70.3628	53.7976
MASP2	24.5485	26.6951	17.6548	24.7089	29.7959	40.7793	57.6211	37.8527	45.1462	25.7103	42.9333	47.95
IYD	168.672	220.235	341.325	446.66	125.348	114.529	171.87	168.953	66.3915	76.2127	161	153.206
FAM76A	318.338	309.218	293.069	301.258	221.928	248.146	316.916	302.822	235.468	361.78	277.874	276.005
POMT2	909.879	906.522	752.093	722.259	910.315	855.498	859.349	759.825	824.138	843.848	883.711	836.201
VTA1	2229.17	2196.79	1898.47	2105.95	2111.39	1976.5	1781.29	2157.61	2263.51	2087.11	1670.82	1698.13
MLXIPL	26.1322	33.3689	70.619	43.7157	21.5763	26.0294	32.7844	39.6992	41.6053	51.4206	60.8221	44.4415
BAZ1B	4577.85	4450.3	4319.51	4100.77	3492.27	3585.98	3685.73	3764.9	4067.56	4303.71	3656.48	3630.12
RANBP9	1527.87	1449.1	1613.87	1652.23	1287.96	1376.65	1291.4	1436.47	1240.3	1349.8	1328.88	1232.88
SPRTN	453.394	402.333	374.829	415.225	423.676	439.874	444.382	475.981	404.824	381.536	408.189	432.554
METTL13	1452.32	1507.17	1384.14	1264.91	1161.01	1246.8	1005.39	1070.03	1232.22	1235.01	886.096	922.75
DYRK4	116.407	111.23	147.123	122.594	118.156	177.867	134.118	138.317	146.947	144.161	143.111	127.477
ZNF207	3872.31	3832.97	4155.94	4022.75	3727.57	3651.93	3761.25	3837.9	4099.47	4078.76	4020.24	3817.28
UQCRC1	2691.62	2603.9	2757.67	2584.93	2416.52	2090.15	3434.4	3511.94	2302.46	2107.33	3106.69	2859.45
STARD3NL	890.081	874.268	774.457	726.059	1074.7	1075.88	976.577	872.462	956.92	1076.15	868.206	983.56
CD9	3911.21	4048.77	4626.74	4927.5	2785.42	2460.64	3668.87	4380.83	2396.28	2485.66	4079.87	4039.51
NCAPD2	2988.51	3003.24	2038.27	1778.85	1091.97	1118.48	1115.2	849.548	1111.05	1054.36	981.13	1018.95
GIPR	19.7972	17.7967	55.3182	37.0633	24.6586	3.47058	96.3664	96.0167	34.5236	25.7103	96.5999	91.2219
PHF7	32.4673	28.9197	29.4246	31.3612	16.4391	21.6911	30.7975	13.8486	26.5566	10.1005	39.3555	22.2207
SEMA3G	8.71075	10.0107	1.17698	9.50341	0	2.60294	0	2.76971	4.4261	1.83645	7.15554	3.50854
NISCH	1765.13	1730.73	1880.82	1867.41	2061.05	2032.9	2250.22	2041.29	2029.81	2104.58	2403.07	2574.11
FUZ	345.731	342.005	250.956	270.563	282.139	288.998	308.837	220.148	258.353	236.631	296.879	310.595
SLC6A13	81.5643	73.4116	213.034	199.572	274.328	162.25	1294.49	1463.34	250.517	217.62	859.857	872.457
IDS	2875.61	2982.2	4515.57	4810.88	5013.28	4559.31	5649.57	6272.91	4247.05	3999.07	6765.66	6087.04
ZNF200	271.617	283.636	262.468	242.337	286.657	257.69	363.609	333.289	239.009	308.524	259.985	328.633
CD4	30.8836	32.2566	23.5397	38.0136	25.6861	39.9117	29.804	27.6971	22.1305	33.0561	48.8962	33.9159
LRRC23	181.11	185.344	176.548	114.253	236.032	275.715	196.707	159.039	247.816	208.358	138.34	160.222
BTK	16.6296	14.4599	5.88492	14.2551	27.741	22.5588	11.9216	23.0809	11.5079	22.9556	7.15554	10.5256
HFE	1114.97	1133.43	2057.31	2135.41	797.297	726.219	2255.17	2847.25	946.25	823.648	1742.37	1535.56
SCMH1	553.528	607.315	463.732	454.262	482.891	498.028	550.381	481.007	435.528	487.577	426.947	480.67
FYN	734.871	818.65	721.49	589.211	921.617	1004.73	591.114	543.787	818.829	814.468	709.591	756.674
HIVEP2	833.856	958.799	1490.06	1348.53	1023.33	1020.35	1499.14	2240.7	940.987	1033.92	1421.57	1270.09
ELOA	1760.98	1854.31	1722.01	1580.23	1751.63	1639.88	1677.36	1823.46	1590.67	1592.78	1449.91	1539.84
LYPLA2	1400.04	1437.09	2102.1	2181.03	1740.49	1816.84	1598.5	1735.69	1808.5	1828.18	1485.97	1365.99
