"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-2.1299504416227,0.488,0.775,0,"SLC44A1"
1.09082046693537e-96,-2.129790838297,0.727,0.635,2.87223937148753e-92,"SLC14A2"
6.79471684623922e-291,-2.1249400935287,0.204,0.557,1.78911689278325e-286,"DOCK5"
7.22297308808143e-247,-2.10955301392051,0.186,0.506,1.90188104382272e-242,"PIEZO1"
3.2840799031117e-277,-2.10927204761852,0.218,0.552,8.64731079288341e-273,"NSF"
0,-2.09139577379133,0.575,0.798,0,"HIF1A"
0,-2.04032928121797,0.455,0.786,0,"RHOBTB3"
0,-2.02502532986923,0.633,0.849,0,"MYO1E"
2.73605410603801e-236,-2.02004525589484,0.225,0.532,7.20430406660867e-232,"SCCPDH"
8.71778839222955e-264,-2.00628509130651,0.322,0.611,2.29548086155796e-259,"SLC4A7"
3.37407310857904e-319,-1.99041869752681,0.353,0.657,8.88427190219947e-315,"AC245297.3"
0,-1.99003238183095,0.47,0.77,0,"SHROOM3"
1.96197541583744e-247,-1.98842482813435,0.248,0.566,5.16607746744156e-243,"KCNJ3"
1.26756936970732e-220,-1.97066298963632,0.301,0.583,3.33763690737635e-216,"BAIAP2L1"
2.56905649391505e-107,-1.96376439181222,0.38,0.535,6.76458265412772e-103,"WFDC2"
3.93048425222876e-313,-1.9603227413397,0.312,0.653,1.03493580845435e-308,"TXNIP"
